title,library,symbol,kind
black-ops-2,nn_ac,ConnectAsync__Q2_2nn2acFv,functions
black-ops-2,nn_ac,Initialize__Q2_2nn2acFv,functions
black-ops-2,nn_act,AcquireIndependentServiceToken__Q2_2nn3actFPcPCc,functions
black-ops-2,nn_act,GetAccountIdEx__Q2_2nn3actFPcUc,functions
black-ops-2,nn_act,GetAccountId__Q2_2nn3actFPc,functions
black-ops-2,nn_act,GetCountry__Q2_2nn3actFPc,functions
black-ops-2,nn_act,GetErrorCode__Q2_2nn3actFRCQ2_2nn6Result,functions
black-ops-2,nn_act,GetParentalControlSlotNoEx__Q2_2nn3actFPUcUc,functions
black-ops-2,nn_act,GetPrincipalIdEx__Q2_2nn3actFPUiUc,functions
black-ops-2,nn_act,GetPrincipalId__Q2_2nn3actFv,functions
black-ops-2,nn_act,GetSlotNo__Q2_2nn3actFv,functions
black-ops-2,nn_act,GetTransferableIdEx__Q2_2nn3actFPULUiUc,functions
black-ops-2,nn_act,Initialize__Q2_2nn3actFv,functions
black-ops-2,nn_act,IsNetworkAccountEx__Q2_2nn3actFUc,functions
black-ops-2,nn_act,IsNetworkAccount__Q2_2nn3actFv,functions
black-ops-2,nn_act,IsSlotOccupied__Q2_2nn3actFUc,functions
black-ops-2,nn_fp,AddFriendAsync__Q2_2nn2fpFPCcPFQ2_2nn6ResultPv_vPv,functions
black-ops-2,nn_fp,AddFriendAsync__Q2_2nn2fpFUiPFQ2_2nn6ResultPv_vPv,functions
black-ops-2,nn_fp,AddFriendRequestAsync__Q2_2nn2fpFUiUcPCwT2T3PFQ2_2nn6ResultPv_vPv,functions
black-ops-2,nn_fp,Finalize__Q2_2nn2fpFv,functions
black-ops-2,nn_fp,GetFriendAccountId__Q2_2nn2fpFPA17_cPCUiUi,functions
black-ops-2,nn_fp,GetFriendListAll__Q2_2nn2fpFPUiT1UiT3,functions
black-ops-2,nn_fp,GetFriendPresence__Q2_2nn2fpFPQ3_2nn2fp14FriendPresencePCUiUi,functions
black-ops-2,nn_fp,GetFriendRelationship__Q2_2nn2fpFPUcPCUiUi,functions
black-ops-2,nn_fp,GetFriendRequestAccountId__Q2_2nn2fpFPA17_cPCUiUi,functions
black-ops-2,nn_fp,GetFriendRequestList__Q2_2nn2fpFPUiT1UiT3,functions
black-ops-2,nn_fp,HasLoggedIn__Q2_2nn2fpFv,functions
black-ops-2,nn_fp,Initialize__Q2_2nn2fpFv,functions
black-ops-2,nn_fp,IsInitialized__Q2_2nn2fpFv,functions
black-ops-2,nn_fp,LoginAsync__Q2_2nn2fpFPFQ2_2nn6ResultPv_vPv,functions
black-ops-2,nn_fp,Logout__Q2_2nn2fpFv,functions
black-ops-2,nn_fp,ResultToErrorCode__Q2_2nn2fpFQ2_2nn6Result,functions
black-ops-2,nn_fp,SetNotificationHandler__Q2_2nn2fpFUiPFQ3_2nn2fp16NotificationTypeUiPv_vPv,functions
black-ops-2,nn_fp,UpdateGameMode__Q2_2nn2fpFPCQ3_2nn2fp8GameModePCw,functions
black-ops-2,nn_ndm,EnableHomeButtonMenuAndBgProcess__Q2_2nn3ndmFi,functions
black-ops-2,nn_save,SAVEFlushQuota,functions
black-ops-2,nn_save,SAVEInit,functions
black-ops-2,nn_save,SAVEInitSaveDir,functions
black-ops-2,nn_save,SAVEOpenFile,functions
black-ops-2,nn_save,SAVERemove,functions
black-ops-2,nsysnet.rpl,NSSLCreateContext,functions
black-ops-2,nsysnet.rpl,NSSLDestroyContext,functions
black-ops-2,nsysnet.rpl,NSSLFinish,functions
black-ops-2,nsysnet.rpl,NSSLInit,functions
black-ops-2,nsysnet.rpl,accept,functions
black-ops-2,nsysnet.rpl,bind,functions
black-ops-2,nsysnet.rpl,connect,functions
black-ops-2,nsysnet.rpl,gethostbyname,functions
black-ops-2,nsysnet.rpl,htonl,functions
black-ops-2,nsysnet.rpl,htons,functions
black-ops-2,nsysnet.rpl,inet_aton,functions
black-ops-2,nsysnet.rpl,inet_ntoa,functions
black-ops-2,nsysnet.rpl,listen,functions
black-ops-2,nsysnet.rpl,ntohl,functions
black-ops-2,nsysnet.rpl,ntohs,functions
black-ops-2,nsysnet.rpl,recv,functions
black-ops-2,nsysnet.rpl,recvfrom,functions
black-ops-2,nsysnet.rpl,select,functions
black-ops-2,nsysnet.rpl,send,functions
black-ops-2,nsysnet.rpl,sendto,functions
black-ops-2,nsysnet.rpl,set_resolver_allocator,functions
black-ops-2,nsysnet.rpl,setsockopt,functions
black-ops-2,nsysnet.rpl,shutdown,functions
black-ops-2,nsysnet.rpl,socket,functions
black-ops-2,nsysnet.rpl,socket_lib_finish,functions
