library,symbol,kind,titles,pct_of_corpus,implemented
coreinit,OSFastMutex_TryLock,functions,1,25.0,no
coreinit,OSFreeToSystem,functions,1,25.0,no
coreinit,OSGetActiveThreadLink,functions,1,25.0,no
coreinit,OSGetAtomic64,functions,1,25.0,yes
coreinit,OSGetCoreCount,functions,1,25.0,no
coreinit,OSGetDefaultThread,functions,1,25.0,no
coreinit,OSGetMainCoreId,functions,1,25.0,no
coreinit,OSGetStackPointer,functions,1,25.0,yes
coreinit,OSGetSystemMessageQueue,functions,1,25.0,yes
coreinit,OSGetSystemTick,functions,1,25.0,yes
coreinit,OSGetThreadName,functions,1,25.0,yes
coreinit,OSGetTick,functions,1,25.0,yes
coreinit,OSInitAlarmQueue,functions,1,25.0,no
coreinit,OSInitAlarmQueueEx,functions,1,25.0,no
coreinit,OSInitCondEx,functions,1,25.0,yes
coreinit,OSInitCoroutine,functions,1,25.0,no
coreinit,OSInitEvent,functions,1,25.0,yes
coreinit,OSInitEventEx,functions,1,25.0,yes
coreinit,OSInitMessageQueue,functions,1,25.0,yes
coreinit,OSInitMessageQueueEx,functions,1,25.0,yes
coreinit,OSInitRendezvous,functions,1,25.0,no
coreinit,OSInitSemaphoreEx,functions,1,25.0,yes
coreinit,OSInitThreadQueue,functions,1,25.0,no
coreinit,OSInitThreadQueueEx,functions,1,25.0,no
coreinit,OSIsMainCore,functions,1,25.0,no
coreinit,OSIsThreadSuspended,functions,1,25.0,no
coreinit,OSIsThreadTerminated,functions,1,25.0,yes
coreinit,OSLoadCoroutine,functions,1,25.0,no
coreinit,OSMemoryBarrier,functions,1,25.0,yes
coreinit,OSOrAtomic64,functions,1,25.0,yes
coreinit,OSPanic,functions,1,25.0,yes
coreinit,OSPeekMessage,functions,1,25.0,yes
coreinit,OSReceiveMessage,functions,1,25.0,yes
coreinit,OSReleaseForeground,functions,1,25.0,no
coreinit,OSReleaseSpinLock,functions,1,25.0,yes
coreinit,OSResetEvent,functions,1,25.0,yes
coreinit,OSRunThread,functions,1,25.0,no
coreinit,OSSaveCoroutine,functions,1,25.0,no
coreinit,OSScreenPutPixelEx,functions,1,25.0,no
coreinit,OSSendMessage,functions,1,25.0,yes
coreinit,OSSetAlarmTag,functions,1,25.0,yes
coreinit,OSSetAtomic64,functions,1,25.0,yes
coreinit,OSSetExceptionCallback,functions,1,25.0,no
