library,symbol,kind,titles,pct_of_corpus,implemented
nlibcurl.rpl,curl_multi_init,functions,1,100.0,no
nlibcurl.rpl,curl_multi_perform,functions,1,100.0,no
nlibcurl.rpl,curl_multi_remove_handle,functions,1,100.0,no
nlibcurl.rpl,curl_slist_append,functions,1,100.0,no
nlibcurl.rpl,curl_slist_free_all,functions,1,100.0,no
nlibcurl.rpl,curl_version_info,functions,1,100.0,no
nn_ac,ACConnectAsync,functions,1,100.0,no
nn_ac,ACFinalize,functions,1,100.0,no
nn_ac,ACGetAssignedAddress,functions,1,100.0,no
nn_ac,ACGetLastErrorCode,functions,1,100.0,no
nn_ac,ACGetStatus,functions,1,100.0,no
nn_ac,ACInitialize,functions,1,100.0,no
nn_ac,ACIsFailure,functions,1,100.0,no
nn_ac,ACIsSuccess,functions,1,100.0,no
nn_ac,ConnectAsync__Q2_2nn2acFv,functions,1,100.0,no
nn_ac,Initialize__Q2_2nn2acFv,functions,1,100.0,no
nn_act,AcquireIndependentServiceToken__Q2_2nn3actFPcPCc,functions,1,100.0,no
nn_act,GetAccountIdEx__Q2_2nn3actFPcUc,functions,1,100.0,no
nn_act,GetAccountId__Q2_2nn3actFPc,functions,1,100.0,no
nn_act,GetCountry__Q2_2nn3actFPc,functions,1,100.0,no
nn_act,GetErrorCode__Q2_2nn3actFRCQ2_2nn6Result,functions,1,100.0,no
nn_act,GetParentalControlSlotNoEx__Q2_2nn3actFPUcUc,functions,1,100.0,no
nn_act,GetPrincipalIdEx__Q2_2nn3actFPUiUc,functions,1,100.0,no
nn_act,GetPrincipalId__Q2_2nn3actFv,functions,1,100.0,no
nn_act,GetSlotNo__Q2_2nn3actFv,functions,1,100.0,no
nn_act,GetTransferableIdEx__Q2_2nn3actFPULUiUc,functions,1,100.0,no
nn_act,Initialize__Q2_2nn3actFv,functions,1,100.0,no
nn_act,IsNetworkAccountEx__Q2_2nn3actFUc,functions,1,100.0,no
nn_act,IsNetworkAccount__Q2_2nn3actFv,functions,1,100.0,no
nn_act,IsSlotOccupied__Q2_2nn3actFUc,functions,1,100.0,no
nn_fp,AddFriendAsync__Q2_2nn2fpFPCcPFQ2_2nn6ResultPv_vPv,functions,1,100.0,no
nn_fp,AddFriendAsync__Q2_2nn2fpFUiPFQ2_2nn6ResultPv_vPv,functions,1,100.0,no
nn_fp,AddFriendRequestAsync__Q2_2nn2fpFUiUcPCwT2T3PFQ2_2nn6ResultPv_vPv,functions,1,100.0,no
nn_fp,Finalize__Q2_2nn2fpFv,functions,1,100.0,no
nn_fp,GetFriendAccountId__Q2_2nn2fpFPA17_cPCUiUi,functions,1,100.0,no
nn_fp,GetFriendListAll__Q2_2nn2fpFPUiT1UiT3,functions,1,100.0,no
nn_fp,GetFriendPresence__Q2_2nn2fpFPQ3_2nn2fp14FriendPresencePCUiUi,functions,1,100.0,no
nn_fp,GetFriendRelationship__Q2_2nn2fpFPUcPCUiUi,functions,1,100.0,no
nn_fp,GetFriendRequestAccountId__Q2_2nn2fpFPA17_cPCUiUi,functions,1,100.0,no
nn_fp,GetFriendRequestList__Q2_2nn2fpFPUiT1UiT3,functions,1,100.0,no
nn_fp,HasLoggedIn__Q2_2nn2fpFv,functions,1,100.0,no
nn_fp,Initialize__Q2_2nn2fpFv,functions,1,100.0,no
nn_fp,IsInitialized__Q2_2nn2fpFv,functions,1,100.0,no
nn_fp,LoginAsync__Q2_2nn2fpFPFQ2_2nn6ResultPv_vPv,functions,1,100.0,no
nn_fp,Logout__Q2_2nn2fpFv,functions,1,100.0,no
nn_fp,ResultToErrorCode__Q2_2nn2fpFQ2_2nn6Result,functions,1,100.0,no
nn_fp,SetNotificationHandler__Q2_2nn2fpFUiPFQ3_2nn2fp16NotificationTypeUiPv_vPv,functions,1,100.0,no
nn_fp,UpdateGameMode__Q2_2nn2fpFPCQ3_2nn2fp8GameModePCw,functions,1,100.0,no
nn_ndm,EnableHomeButtonMenuAndBgProcess__Q2_2nn3ndmFi,functions,1,100.0,no
nn_save,SAVEFlushQuota,functions,1,100.0,no
nn_save,SAVEInit,functions,1,100.0,no
nn_save,SAVEInitSaveDir,functions,1,100.0,no
nn_save,SAVEOpenFile,functions,1,100.0,no
nn_save,SAVERemove,functions,1,100.0,no
nsysnet.rpl,NSSLCreateContext,functions,1,100.0,no
nsysnet.rpl,NSSLDestroyContext,functions,1,100.0,no
nsysnet.rpl,NSSLFinish,functions,1,100.0,no
nsysnet.rpl,NSSLInit,functions,1,100.0,no
nsysnet.rpl,accept,functions,1,100.0,no
nsysnet.rpl,bind,functions,1,100.0,no
nsysnet.rpl,connect,functions,1,100.0,no
nsysnet.rpl,gethostbyname,functions,1,100.0,no
nsysnet.rpl,htonl,functions,1,100.0,no
nsysnet.rpl,htons,functions,1,100.0,no
nsysnet.rpl,inet_aton,functions,1,100.0,no
nsysnet.rpl,inet_ntoa,functions,1,100.0,no
nsysnet.rpl,listen,functions,1,100.0,no
nsysnet.rpl,ntohl,functions,1,100.0,no
nsysnet.rpl,ntohs,functions,1,100.0,no
nsysnet.rpl,recv,functions,1,100.0,no
nsysnet.rpl,recvfrom,functions,1,100.0,no
nsysnet.rpl,select,functions,1,100.0,no
nsysnet.rpl,send,functions,1,100.0,no
nsysnet.rpl,sendto,functions,1,100.0,no
nsysnet.rpl,set_resolver_allocator,functions,1,100.0,no
nsysnet.rpl,setsockopt,functions,1,100.0,no
nsysnet.rpl,shutdown,functions,1,100.0,no
